GPT Prompt,Correct Output,GPT Output,Type of Community
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: @Nomiii92 Tabari 9:69 ""Killing Unbelievers is a small matter to us"" 
Ibn Ishaq: 992 - ""Fight everyone in the way of Allah and kill those who disbelieve in Allah.""
Ibn Ishaq: 327 - Allah said, A prophet must slaughter before collecting captives. A slaughtered enemy is driven from the land. Muhammad, you craved the desires of this world, its goods and the ransom captives would bring. But Allah desires killing them to manifest the religion.",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: Accent too thick . . . couldn't make out what he was saying.  Probably for the best.  The world can do with one less hate-monger.",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: I had to see if any justice was made, this video breaks my heart.  A little justice, and only a little.  Imo, it's not enough.  Cops should have been fired, and the man should have received half a million from each cop.  St. Paul settled for a mere $100,00 in the law suit.  I'm glad that at least he saw some apology for this horrible incident, but it's just not enough.",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: For change to happen people it doesn't effect need to be outraged. It makes me feel bad and sad for the guy and that we're not all treated equal.",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: What a mentality sick man and all the people who agree with this shit head should all go to hell",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: So what's the bid deal about Jewish people being successful?  Jeez what is this, jealousy?  ""Ohh i can't have it so I'll make sure no one else can have it too""",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: I just wanna say if you believe that everyone is untitled to choose the life style they want, and have they're own opinions then why to people ridicule those who don't agree with homosexual marriage? I am a Christian, I believe God sent his only son to earth to bare a punishment no mere man could handle, and die for our sake. That's my belief, I will not say a homosexual is going to hell, why, because that's not my place. Homosexual is the person, homosexuality is the sin. And anyone who continues to sin, whether lying, killing, stealing, homosexuals, adultery, and doesn't confess his sins and doesn't try to make right his wrongs then he/she is leading to a path of destruction ""for the wages of sin is death"" (Romans 6:23)",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: Sarcasm !",FALSE,FALSE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Piers is full of chit. Tell them Kirk.",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: The 1 customer who sided with the clerk and hated jews looked more jewish than anyone LOL!!    Fail.",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: I have nothing but HATE for him? NO LOVE!!!! I HOPE HE DIES AND GOES TO HELL!? Wow that's loving...This guy is Satan in disguise. And it's scary because the weak minded worship this hate and bullshit.... I bet this guy is an angry self-hating closet case......wouldn't surprise me.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: When he said it's sinful, but lowkey everybody sinned.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: I'm a Christian and watching this upsets me, no one should be disrespected because of their faith, if I'd been there I probably would have punched that idiot customer. There are people from all nations, races, religions serving in Iraq you dickhead.",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: “We know that the law is good if one uses it properly. We also know that the law is made not for the righteous but for lawbreakers and rebels, the ungodly and sinful, the unholy and irreligious, for those who kill their fathers or mothers, for murderers, for the sexually immoral, for those practicing homosexuality, for slave traders and liars and perjurers—and for whatever else is contrary to the sound doctrine”
‭‭1 Timothy‬ ‭1:8-10‬ ‭NIV‬‬
http://bible.com/111/1ti.1.8-10.niv",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: jesus was jewish",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: I Believe Kirk Cameron is unnatural",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: ITS NOT HURTFUL ITS THE TRUTH.",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: she looks like a crack addict tbh",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: 50 White people watched this video.lmao",FALSE,FALSE,Jewish
